CountyCode,CountyName,DistrictCode,DistrictName,SchoolCode,SchoolName,ELAProf_Score,ELAProf_Weight,MathProf_Score,MathProf_Weight,Grad4YR_Score,Grad4YR_Weight,Grad5YR_Score,Grad5YR_Weight,ELAGrowth_Score,ELAGrowth_Weight,MathGrowth_Score,MathGrowth_Weight,ELP_Score,ELP_Weight,CA_Score,CA_Weight,SummativeScore,SummativeRating,CompSupport_Bottom5%,CompSupport_Grad67,AccountabilityIndicator,IndicatorScore,IndicatorWeight,Year
01,ATLANTIC,3020,MARGATE CITY,025,WILLIAM H. ROSS III SCHOOL,58.35,17.5%,90.05,17.5%,9999999,9999999,9999999,9999999,20.79,25.0%,11.04,25.0%,9999999,9999999,88.01,15.0%,47.13,44.67,No,No,NA,NA,NA,2017-18
01,ATLANTIC,3480,MULLICA TWP,020,MULLICA TOWNSHIP PRIMARY SCHOOL,35.72,17.5%,62.20,17.5%,9999999,9999999,9999999,9999999,6.22,25.0%,31.87,25.0%,9999999,9999999,50.48,15.0%,34.23,24.82,No,No,NA,NA,NA,2017-18
01,ATLANTIC,3480,MULLICA TWP,025,MULLICA TOWNSHIP MIDDLE SCHOOL,38.63,17.5%,23.34,17.5%,9999999,9999999,9999999,9999999,74.47,25.0%,5.99,25.0%,9999999,9999999,64.27,15.0%,40.60,33.65,No,No,NA,NA,NA,2017-18
01,ATLANTIC,3720,NORTHFIELD CITY,056,NORTHFIELD COMMUNITY MIDDLE SCHOOL,37.56,17.5%,50.36,17.5%,9999999,9999999,9999999,9999999,69.91,25.0%,43.26,25.0%,9999999,9999999,70.50,15.0%,54.25,56.10,No,No,NA,NA,NA,2017-18
01,ATLANTIC,3720,NORTHFIELD CITY,057,NORTHFIELD COMMUNITY ELEMENTARY SCHOOL,31.28,17.5%,46.21,17.5%,9999999,9999999,9999999,9999999,20.91,25.0%,52.70,25.0%,9999999,9999999,69.78,15.0%,42.43,35.72,No,No,NA,NA,NA,2017-18
01,ATLANTIC,4180,PLEASANTVILLE CITY,050,PLEASANTVILLE HIGH SCHOOL,5.44,15.0%,8.31,15.0%,29.23,20.0%,58.91,20.0%,9999999,9999999,9999999,9999999,22.73,20.0%,10.63,10.0%,25.30,17.19,No,No,NA,NA,NA,2017-18
01,ATLANTIC,4180,PLEASANTVILLE CITY,055,PLEASANTVILLE MIDDLE SCHOOL,7.23,15.0%,3.67,15.0%,9999999,9999999,9999999,9999999,16.77,20.0%,2.91,20.0%,5.32,20.0%,10.79,10.0%,7.71,1.30,Yes,No,NA,NA,NA,2017-18
01,ATLANTIC,4180,PLEASANTVILLE CITY,060,WASHINGTON AVENUE ELEMENTARY SCHOOL,7.17,15.0%,9.18,15.0%,9999999,9999999,9999999,9999999,40.52,20.0%,15.79,20.0%,53.40,20.0%,56.29,10.0%,30.02,18.96,No,No,NA,NA,NA,2017-18
01,ATLANTIC,4180,PLEASANTVILLE CITY,080,LEEDS AVENUE ELEMENTARY SCHOOL,29.56,15.0%,24.11,15.0%,9999999,9999999,9999999,9999999,44.43,20.0%,13.06,20.0%,34.68,20.0%,13.19,10.0%,27.80,15.88,No,No,NA,NA,NA,2017-18
01,ATLANTIC,4180,PLEASANTVILLE CITY,085,NORTH MAIN STREET ELEMENTARY SCHOOL,11.20,15.0%,9.89,15.0%,9999999,9999999,9999999,9999999,51.42,20.0%,9.44,20.0%,35.32,20.0%,8.51,10.0%,23.25,11.55,No,No,NA,NA,NA,2017-18
