CountyCode,CountyName,DistrictCode,DistrictName,SchoolCode,SchoolName,StudentDeviceRatio,Year
03,BERGEN,2860,LYNDHURST TWP,070,FRANKLIN SCHOOL,NA,2017-18
03,BERGEN,2860,LYNDHURST TWP,080,JEFFERSON SCHOOL,4.6:1,2017-18
03,BERGEN,2860,LYNDHURST TWP,090,LINCOLN SCHOOL,4.4:1,2017-18
03,BERGEN,2860,LYNDHURST TWP,110,ROOSEVELT SCHOOL,4.4:1,2017-18
03,BERGEN,2860,LYNDHURST TWP,120,WASHINGTON SCHOOL,NA,2017-18
03,BERGEN,2860,LYNDHURST TWP,300,MEMORIAL CAMPUS,2.7:1,2017-18
03,BERGEN,2900,MAHWAH TWP,050,MAHWAH HIGH SCHOOL,1:1,2017-18
03,BERGEN,2900,MAHWAH TWP,060,BETSY ROSS ELEMENTARY,1:1,2017-18
03,BERGEN,2900,MAHWAH TWP,065,LENAPE MEADOWS,1:1,2017-18
03,BERGEN,2900,MAHWAH TWP,075,JOYCE KILMER SCHOOL,1.3:1,2017-18
03,BERGEN,2900,MAHWAH TWP,076,RAMAPO RIDGE,1:1,2017-18
03,BERGEN,2900,MAHWAH TWP,080,GEORGE WASHINGTON SCHOOL,1:1,2017-18
03,BERGEN,3060,MAYWOOD BORO,060,MAYWOOD AVENUE SCHOOL,2.4:1,2017-18
03,BERGEN,3060,MAYWOOD BORO,070,MEMORIAL,3.4:1,2017-18
03,BERGEN,3170,MIDLAND PARK BORO,050,MIDLAND PARK JR./SR. HIGH SCHOOL,1:1,2017-18
03,BERGEN,3170,MIDLAND PARK BORO,070,HIGHLAND ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,3170,MIDLAND PARK BORO,300,GODWIN ELEMENTARY SCHOOL,NA,2017-18
03,BERGEN,3330,MONTVALE BORO,020,FIELDSTONE MIDDLE SCHOOL,1.1:1,2017-18
03,BERGEN,3330,MONTVALE BORO,030,MEMORIAL ELEMENTARY SCHOOL,2.9:1,2017-18
03,BERGEN,3350,MOONACHIE BORO,060,ROBERT L. CRAIG SCHOOL,2.3:1,2017-18
03,BERGEN,3550,NEW MILFORD BORO,050,NEW MILFORD HIGH SCHOOL,1.6:1,2017-18
03,BERGEN,3550,NEW MILFORD BORO,060,BERKLEY STREET SCHOOL,1.4:1,2017-18
03,BERGEN,3550,NEW MILFORD BORO,070,BERTRAND F. GIBBS ELEMENTARY SCHOOL,2.0:1,2017-18
03,BERGEN,3550,NEW MILFORD BORO,085,DAVID E. OWENS MIDDLE SCHOOL,1.5:1,2017-18
03,BERGEN,3600,NORTH ARLINGTON BORO,050,NORTH ARLINGTON HIGH SCHOOL,1.5:1,2017-18
03,BERGEN,3600,NORTH ARLINGTON BORO,060,JEFFERSON ELEMENTARY SCHOOL,1.4:1,2017-18
03,BERGEN,3600,NORTH ARLINGTON BORO,070,ROOSEVELT ELEMENTARY SCHOOL,1.3:1,2017-18
03,BERGEN,3600,NORTH ARLINGTON BORO,080,WASHINGTON ELEMENTARY SCHOOL,1.2:1,2017-18
03,BERGEN,3600,NORTH ARLINGTON BORO,090,NORTH ARLINGTON MIDDLE SCHOOL,1.1:1,2017-18
